epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,1391.58,0.58413,0.86192,0.83178,0.84531,0.80927,0.8892,0.77029,0.52774,0.69968,0.81756,0.000202975,0.000202975,0.000202975
21,1461.99,0.57408,0.85096,0.83035,0.84167,0.79485,0.87457,0.74716,0.55979,0.72441,0.82695,0.0002005,0.0002005,0.0002005
22,1531.42,0.57795,0.83143,0.83,0.83053,0.83057,0.88527,0.76557,0.5354,0.6925,0.82228,0.000198025,0.000198025,0.000198025
23,1600.38,0.57105,0.81788,0.82832,0.84026,0.81455,0.88802,0.77021,0.52814,0.69398,0.82467,0.00019555,0.00019555,0.00019555
24,1670.66,0.56187,0.80055,0.8292,0.85873,0.82084,0.89573,0.77444,0.52967,0.66447,0.81836,0.000193075,0.000193075,0.000193075
25,1746.08,0.55799,0.79057,0.82805,0.85052,0.83157,0.89739,0.78109,0.51414,0.6575,0.81796,0.0001906,0.0001906,0.0001906
26,1815.82,0.55447,0.77451,0.82631,0.84806,0.82987,0.89839,0.77546,0.53187,0.66025,0.82188,0.000188125,0.000188125,0.000188125
27,1885.98,0.55568,0.774,0.82664,0.84866,0.83575,0.90114,0.78994,0.49635,0.63526,0.81371,0.00018565,0.00018565,0.00018565
28,1955.93,0.54515,0.75636,0.82463,0.85884,0.82444,0.90064,0.7874,0.50643,0.64422,0.81659,0.000183175,0.000183175,0.000183175
29,2024.35,0.54901,0.74889,0.8244,0.86416,0.81651,0.89472,0.76916,0.54928,0.64586,0.82452,0.0001807,0.0001807,0.0001807
30,2089.74,0.54057,0.72941,0.82475,0.86458,0.83511,0.90331,0.7812,0.53111,0.62773,0.8199,0.000178225,0.000178225,0.000178225
31,2152.52,0.53717,0.72818,0.82412,0.86239,0.8449,0.90377,0.79326,0.50133,0.61611,0.81598,0.00017575,0.00017575,0.00017575
32,2214.52,0.53828,0.72173,0.82438,0.86957,0.84168,0.91067,0.79732,0.50478,0.60258,0.81623,0.000173275,0.000173275,0.000173275
33,2277.05,0.53976,0.71251,0.82615,0.87608,0.84595,0.9131,0.80426,0.48395,0.58461,0.81206,0.0001708,0.0001708,0.0001708
34,2339.38,0.53737,0.70248,0.82205,0.87555,0.83836,0.91009,0.80011,0.49349,0.59601,0.81427,0.000168325,0.000168325,0.000168325
35,2402.9,0.5285,0.6904,0.82354,0.87567,0.84924,0.91308,0.80591,0.48783,0.58432,0.81522,0.00016585,0.00016585,0.00016585
36,2464.73,0.5239,0.68655,0.82153,0.87762,0.84967,0.91634,0.8075,0.49111,0.575,0.81456,0.000163375,0.000163375,0.000163375
37,2526.45,0.53285,0.68854,0.82223,0.86912,0.85023,0.91174,0.79864,0.50008,0.58625,0.81569,0.0001609,0.0001609,0.0001609
38,2589.11,0.52668,0.67377,0.81973,0.88289,0.85024,0.91683,0.80428,0.49979,0.56703,0.81381,0.000158425,0.000158425,0.000158425
39,2651.37,0.52159,0.66401,0.81917,0.88756,0.8549,0.92106,0.81761,0.47213,0.5556,0.81255,0.00015595,0.00015595,0.00015595
40,2713.18,0.52011,0.66596,0.81906,0.88257,0.84965,0.91893,0.81389,0.47587,0.55558,0.8107,0.000153475,0.000153475,0.000153475
41,2776.13,0.51529,0.65298,0.81803,0.8882,0.85594,0.92083,0.81423,0.47809,0.55228,0.8105,0.000151,0.000151,0.000151
