epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,8140.91,0.42714,0.41478,0.8018,0.9071,0.91998,0.95259,0.87163,0.40456,0.38443,0.79519,0.0001114,0.0001114,0.0001114
58,8257.2,0.42455,0.41285,0.80182,0.91689,0.90289,0.94811,0.8633,0.41875,0.39666,0.7988,0.000108925,0.000108925,0.000108925
59,8377.05,0.42666,0.40864,0.80246,0.91919,0.91085,0.95227,0.87129,0.40683,0.38473,0.79472,0.00010645,0.00010645,0.00010645
60,8496.8,0.42272,0.40708,0.80032,0.91191,0.91,0.94866,0.86834,0.40781,0.39283,0.79717,0.000103975,0.000103975,0.000103975
61,8618.01,0.42036,0.40273,0.80193,0.91608,0.89982,0.94484,0.86235,0.4155,0.39874,0.79711,0.0001015,0.0001015,0.0001015
62,8736.82,0.41993,0.40509,0.80118,0.92512,0.91307,0.95396,0.87736,0.3938,0.37724,0.79385,9.9025e-05,9.9025e-05,9.9025e-05
63,8855.6,0.42276,0.39886,0.80127,0.92032,0.91082,0.95267,0.87295,0.40408,0.38681,0.79631,9.655e-05,9.655e-05,9.655e-05
64,8971.69,0.42001,0.39641,0.80029,0.91634,0.90271,0.94785,0.86384,0.41691,0.39639,0.79884,9.4075e-05,9.4075e-05,9.4075e-05
65,9087.4,0.41832,0.39436,0.80138,0.92565,0.91117,0.95388,0.87497,0.399,0.37755,0.7961,9.16e-05,9.16e-05,9.16e-05
66,9203.42,0.41087,0.38388,0.79976,0.92413,0.90771,0.95106,0.87268,0.40208,0.37907,0.79677,8.9125e-05,8.9125e-05,8.9125e-05
67,9319.6,0.41201,0.38254,0.79909,0.92265,0.91162,0.94936,0.87251,0.39959,0.379,0.79534,8.665e-05,8.665e-05,8.665e-05
68,9437.84,0.41353,0.37996,0.79975,0.9211,0.91937,0.9546,0.87889,0.39491,0.3729,0.79544,8.4175e-05,8.4175e-05,8.4175e-05
69,9555.67,0.41188,0.38123,0.79934,0.92831,0.90987,0.95487,0.88209,0.38583,0.37117,0.793,8.17e-05,8.17e-05,8.17e-05
70,9673.56,0.41104,0.38225,0.79903,0.92256,0.90362,0.94917,0.86866,0.41203,0.38626,0.79844,7.9225e-05,7.9225e-05,7.9225e-05
